Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
37,Jay Beagle\beaglja01,27,WSH,C,48,2,6,8,-1,14,0.0,2,0,0,1,6,0,0,56,3.6,581,12:06,23,55,249,195,56.1
38,Francois Beauchemin\beaucfr01,32,ANA,D,48,6,18,24,19,22,5.8,5,1,0,0,11,7,0,74,8.1,1126,23:27,111,81,0,0,
39,Nathan Beaulieu\beaulna01,20,MTL,D,6,0,2,2,5,0,0.7,0,0,0,0,2,0,0,8,0.0,92,15:22,4,3,0,0,
40,Taylor Beck\beckta01,21,NSH,LW,16,3,4,7,0,2,0.7,2,1,0,0,3,1,0,39,7.7,258,16:06,11,13,6,3,66.7
41,Steve Begin\beginst01,34,CGY,C,36,4,4,8,-2,22,0.8,3,0,1,2,4,0,0,31,12.9,288,8:00,21,62,57,60,48.7
42,Eric Belanger\belaner01,35,EDM,C,26,0,3,3,-1,10,-0.3,0,0,0,0,3,0,0,31,0.0,367,14:07,15,19,203,175,53.7
43,Matt Beleskey\belesma01,24,ANA,LW,42,8,5,13,2,56,1.5,6,2,0,1,5,0,0,61,13.1,505,12:01,16,103,6,13,31.6
44,Brett Bellemore\bellebr01,24,CAR,D,8,0,2,2,-2,7,0.1,0,0,0,0,2,0,0,3,0.0,110,13:46,13,14,0,0,
45,Jamie Benn\bennja01,23,DAL,LW,41,12,21,33,-12,40,3.0,9,3,0,3,14,7,0,110,10.9,816,19:55,32,71,327,382,46.1
46,Jordie Benn\bennjo01,25,DAL,D,26,1,5,6,-4,10,0.8,0,1,0,0,5,0,0,31,3.2,450,17:19,31,25,0,0,
47,Beau Bennett\bennebe01,21,PIT,RW,26,3,11,14,7,6,1.5,2,1,0,2,7,4,0,30,10.0,320,12:18,9,28,1,3,25.0
48,Andre Benoit\benoian01,29,OTT,D,33,3,7,10,-3,8,2.0,2,1,0,2,6,1,0,50,6.0,542,16:25,54,29,0,0,
49,Marc-Andre Bergeron\bergema02,32,TOT,D,25,1,8,9,-4,9,0.9,1,0,0,0,3,5,0,43,2.3,344,13:46,19,16,0,0,
50,Patrice Bergeron\bergepa01,27,BOS,C,42,10,22,32,24,18,4.3,8,2,0,3,19,2,1,125,8.0,810,19:18,25,28,549,335,62.1
51,Patrik Berglund\berglpa01,24,STL,C,48,17,8,25,-2,12,3.4,10,5,2,3,7,1,0,74,23.0,808,16:50,24,53,279,324,46.3
52,Steve Bernier\bernist01,27,NJD,RW,47,8,7,15,-7,17,1.5,6,2,0,1,5,2,0,88,9.1,647,13:46,15,64,5,5,50.0
53,Todd Bertuzzi\bertuto01,37,DET,RW,7,2,1,3,3,2,0.5,2,0,0,0,1,0,0,10,20.0,109,15:31,1,6,0,0,
54,Stu Bickel\bickest01,26,NYR,D,16,0,0,0,-2,49,-0.1,0,0,0,0,0,0,0,2,0.0,88,5:31,6,13,0,0,
55,Bryan Bickell\bickebr01,26,CHI,LW,48,9,14,23,12,25,3.0,9,0,0,2,14,0,0,82,11.0,615,12:48,13,108,2,4,33.3
56,Kevin Bieksa\biekske01,31,VAN,D,36,6,6,12,6,48,3.3,4,2,0,1,5,1,0,77,7.8,790,21:56,50,60,0,0,
57,Paul Bissonnette\bissopa01,27,PHX,LW,28,0,6,6,2,36,0.5,0,0,0,0,6,0,0,13,0.0,152,5:25,8,36,0,0,
58,Nick Bjugstad\bjugsni01,20,FLA,C,11,1,0,1,-8,2,-0.4,1,0,0,0,0,0,0,17,5.9,167,15:13,2,17,53,79,40.2
59,Nicolas Blanchard\blancni01,25,CAR,C,9,0,0,0,-2,20,-0.2,0,0,0,0,0,0,0,6,0.0,78,8:41,2,22,1,0,100.0
60,Jonathon Blum\blumjo02,24,NSH,D,35,1,6,7,-1,6,1.4,1,0,0,0,6,0,0,26,3.8,500,14:18,44,32,0,0,
61,Mike Blunden\blundmi01,26,MTL,RW,5,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,5,0.0,42,8:21,3,2,0,0,
62,Mikkel Boedker\boedkmi01,23,PHX,LW,48,7,19,26,0,12,2.0,4,3,0,2,15,4,0,83,8.4,887,18:29,17,77,1,10,9.1
63,Zach Bogosian\bogosza01,22,WPG,D,33,5,9,14,-5,29,2.2,5,0,0,0,6,3,0,85,5.9,763,23:07,50,79,0,0,
64,Alexandre Bolduc\boldual01,27,PHX,C,14,0,0,0,-4,2,-0.4,0,0,0,0,0,0,0,17,0.0,107,7:38,3,21,7,14,33.3
65,Jared Boll\bollja01,26,CBJ,RW,43,2,4,6,1,100,0.4,2,0,0,0,4,0,0,19,10.5,348,8:05,7,80,4,5,44.4
